source_platform,source_tag,rank,wallet,pnl_usd,source_url,note
pumpfun,gmgn_launchpad_smart,111,AxiomJrKFZZfPTJRrVq9KSN5vSqFKBtdRNmBE6QdCLLY,63883.367037320895,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=11860
pumpfun,gmgn_launchpad_smart,112,DPNPVvoGdwNBY849ryx2JZzakWuWbDTfSUYr8aNfKLwA,63458.098954223526,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=5635
pumpfun,gmgn_launchpad_smart,113,BxQeFMpp4yfA5rNTKwq65ck18VHxUaQ83ohvX5VfCqDx,61676.12550751779,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1048
pumpfun,gmgn_launchpad_smart,114,4H1NVREBvjzbyzqTUrbSgfQbvJm2Cx7mVNXBeBfDz2D7,61075.81794992808,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1579
pumpfun,gmgn_launchpad_smart,115,DqnJdvEyv6feAC1v1RQVzepNVoA8HSdHETWC3H7YxtgG,60748.637864572534,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=5211
pumpfun,pumpfun_pnl_leaderboard,116,4qMpTuriauYx2KMDGN3uNGcd4REjm8m1fjnwVf8aTVUH,60618.694750892224,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 97 is by net pnlUsd=120694.35461379381; stored value is realizedPnlUsd). username=ShooterG
pumpfun,gmgn_launchpad_smart,117,6grHaBNmf2WFuaK32PYnqddWMpbonm7dhdV1wacUpo7V,60260.557179909665,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=945
pumpfun,pumpfun_pnl_leaderboard,118,HsQnUgdVVUJNTTEe5mzpQFFi55oXq4UwcjByEFb3Rd52,60032.03102918841,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 74 is by net pnlUsd=154742.13658817654; stored value is realizedPnlUsd). username=counter17
pumpfun,pumpfun_pnl_leaderboard,119,F5D6ieWYaUqEanvaksvELCXFsWCZw6G2AcF5hcJ9dvyE,59490.561365149464,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 98 is by net pnlUsd=118319.12106024567; stored value is realizedPnlUsd). username=outdoororca8179
pumpfun,pumpfun_pnl_leaderboard,120,B1ZMARC6qhJYJrvBJywUYdtf6hq2WBkTgvbbnGuQsQnX,58466.92639356473,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 41 is by net pnlUsd=58647.57431192763; stored value is realizedPnlUsd). username=lastunknown
