bucket,source_platform,rank,wallet,pnl_usd_or_pump_ui,amount_hell,source_url,note
pump_person,chainlords_pump_holder,657,JEDPfCZnNAGAb3SwvnpzA6wy3qXC96EgMY6JsE6PU4TL,14463660.468752,82085,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14463660.468752; system_wallet
pump_person,chainlords_pump_holder,658,8gK8TtK2r2wp6JMokcvf6gwpDXFg6ipdfkunc9ebyUMK,14454195.205125,82073,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14454195.205125; system_wallet
pump_person,chainlords_pump_holder,659,GkCr2miyeWdibpUAv9VycjG4qFTcSbwmwaUfDrvDQX9o,14350000.0,84317,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14350000; system_wallet
pump_person,chainlords_pump_holder,660,GyUKD1AjP9ZX9RpGr5uHLytrQXnY8Wpwyr6rDKAYXVZb,14307791.206149,75878,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14307791.206149; system_wallet
pump_person,chainlords_pump_holder,661,GZzouyghWbwPVJRB79g5XCVSo7HMNgt49Pi2u1yEwh3o,14301111.0,73148,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14301111; system_wallet
pump_person,chainlords_pump_holder,662,65BhvQTprsdYo7wvfdthA8VxbujjU2jci5SHz8MaiC9p,14260732.354343,84492,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14260732.354343; system_wallet
pump_person,chainlords_pump_holder,663,4ZDx6vjeW2BShyb1mQmFjMHopHndVw4VBC24JBUEsSnN,14242412.6669,82869,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14242412.6669; system_wallet
pump_person,chainlords_pump_holder,664,FBMvJsx4bTJVLEza3Q1ESizRqshv6rQGyfZxyVvHTXK7,14135883.355743,85814,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14135883.355743; system_wallet
pump_person,chainlords_pump_holder,665,4zfr6GJqqWBg5fpfdH3WftSx7YCdwSzrg8Ve8y96jyDw,14089482.2,75810,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14089482.2; no_account_data
pump_person,chainlords_pump_holder,666,D8vFHNrhwoNghs1zcEUe9JTSYx4u4HgiEKugYi4UqMnt,14058394.700475,74054,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14058394.700475; system_wallet
pump_person,chainlords_pump_holder,667,6FXXo5CZo6Pn3GobCLQ2ARM6K3UKjVgFDb7KkabhdzpD,14029881.195382,76817,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14029881.195382; system_wallet
pump_person,chainlords_pump_holder,668,232exHXQQ1NybaMNtzoRLp4DPkMQhYQv7kxt9W51r7Qp,14022657.196594,77536,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14022657.196594; system_wallet
pump_person,chainlords_pump_holder,669,HrQZGAxxGawPXUaLRE4s7GtTUTyMwVvoP8EFqi2syHuJ,14014413.069036,82695,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14014413.069036; system_wallet
pump_person,chainlords_pump_holder,670,79L93Ht5rEA1A7goBNvJowPWkJLRNBHpK6R8NDfxR71b,14000000.006449,84781,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14000000.006449; system_wallet
pump_person,chainlords_pump_holder,671,3vWGrBscFsdXB4itU1xYKsL6ysSScDkeCv86PBGiTpoZ,14000000.0,82313,sources/ronda2.send.ready.csv,PUMP holder pump_ui=14000000; system_wallet
pump_person,chainlords_pump_holder,672,E78eEUbaJCQeX2iwqA2Dxds795T97gMXgXW1JSHZLzy7,13975110.78,74579,sources/ronda2.send.ready.csv,PUMP holder pump_ui=13975110.78; system_wallet
pump_person,chainlords_pump_holder,673,CxHjTiEjqUrarkpDFkp1b8MqgwEDXhAQon2wi52ZJxU3,13958466.324427,83998,sources/ronda2.send.ready.csv,PUMP holder pump_ui=13958466.324427; system_wallet
pump_person,chainlords_pump_holder,674,Bx36pmU6QbXinPs3qxESjPevqJ4KgKi3SruSwfXkF1Cg,13952572.37,77895,sources/ronda2.send.ready.csv,PUMP holder pump_ui=13952572.37; system_wallet
pump_person,chainlords_pump_holder,675,G58oCZzgWCTLZnX12PRSjqHbKgvooXrSVG6cu6Tx6uuJ,13939035.34996,76716,sources/ronda2.send.ready.csv,PUMP holder pump_ui=13939035.34996; system_wallet
